date (:DateTime),Tair (K),wind_speed (m / s),SWdn (W / m^2),LWdn (W / m^2),RH,GPP (μmol / m^2 / s)
2015-03-04T06:00:00,296.76823,2.757814454,0,-67.8316666666667,0.88518715,0
2015-03-04T06:30:00,296.78288,2.872027549,12.941999,-68.255,0.8854204,1.533152986
2015-03-04T07:00:00,297.1032033333333,2.490958805,84.5145383333333,-73.165,0.877974283333333,3.981201786
2015-03-04T07:30:00,297.5716083333333,2.34872605,203.4381,-81.76,0.8642278,6.625102884
2015-03-04T08:00:00,298.1080933333333,2.039832559,336.743983333333,-87.1833333333333,0.8384401,10.45392142
2015-03-04T08:30:00,298.6325833333333,2.085013297,466.924783333333,-90.3666666666667,0.8140856,12.62527262
2015-03-04T09:00:00,299.082625,1.971918481,581.678016666667,-92.0666666666667,0.7795710499999999,15.11819855
2015-03-04T09:30:00,299.5958466666667,2.085784194,678.53755,-90.45,0.748001883333333,17.0821091
2015-03-05T00:00:00,297.72559,3.436698875,0,-59.4416666666667,0.8873985999999999,0
2015-03-05T00:30:00,297.76384833333327,3.06113197,0,-41.7483333333333,0.881609666666667,0
2015-03-05T01:00:00,297.688445,3.436225555,0,-57.715,0.885081316666667,0
2015-03-05T01:30:00,297.6146966666667,3.465254444,0,-61.12,0.897437116666667,0
2015-03-05T10:00:00,300.2394583333333,3.291722491,751.145083333333,-75.78,0.764154783333333,19.25231137
2015-03-05T10:30:00,300.9303733333333,3.134483257,854.051483333333,-75.45,0.729894283333333,20.07165089
2015-03-05T11:00:00,301.6832333333333,2.776259512,1007.01256666667,-76.68,0.69913545,18.78009671
2015-03-05T11:30:00,301.4748516666667,3.567304305,942.31205,-71.8466666666667,0.7173965,21.00406938
2015-03-05T12:00:00,301.5065483333333,4.382737272,1029.55766666667,-76.2866666666667,0.7157655333333329,17.94960278
2015-03-05T12:30:00,301.6490816666667,4.954042503,1044.48633333333,-78.0316666666667,0.690284,16.48974879
2015-03-05T13:00:00,301.5408883333333,5.053397415,1034.43433333333,-79.2166666666667,0.697523516666667,15.69511347
2015-03-05T13:30:00,301.4950666666667,5.089025468,994.772966666667,-77.9233333333333,0.705952266666667,16.36224113
2015-03-05T14:00:00,301.2533716666667,5.644344135,949.459633333333,-80.3816666666667,0.719040066666667,15.18284233
2015-03-05T14:30:00,301.0598916666667,5.893563162,879.972316666667,-78.5116666666667,0.746104683333333,15.17486745
2015-03-05T15:00:00,300.8298133333333,5.396176584,827.321233333333,-59.825,0.756931033333333,14.67111602
2015-03-05T15:30:00,300.4494333333333,5.055010161,509.5288,-60.2966666666667,0.7561216166666669,14.59807176
2015-03-05T16:00:00,300.4814366666667,4.408900009,494.911233333333,-65.6333333333333,0.743995566666667,12.59096834
2015-03-05T16:30:00,300.5230366666667,4.948660256,465.716216666667,-70.705,0.7509401833333329,12.03662268
2015-03-05T17:00:00,300.0754433333333,4.708078099,296.9625,-70.2666666666667,0.7689392833333331,9.49844094
2015-03-05T17:30:00,299.5426466666667,4.805928203,134.464505,-62.7733333333333,0.798349433333333,7.099784624
2015-03-05T18:00:00,299.1130566666667,4.155034052,43.4642793333333,-49.275,0.83974165,1.271153949
2015-03-05T18:30:00,298.7913183333333,3.40668014,1.32043166833333,-28.1583333333333,0.873338966666667,0
2015-03-05T19:00:00,298.5549083333333,3.65480553,0,-36.08,0.884555033333333,0
2015-03-05T19:30:00,298.4495933333333,4.303277582,0,-50.1116666666667,0.895345016666667,0
2015-03-05T02:00:00,297.4697883333333,3.774176952,0,-64.5683333333333,0.9091255833333329,0
2015-03-05T02:30:00,297.50499,3.615304758,0,-61.59,0.91063885,0
2015-03-05T20:00:00,298.2904083333333,3.574693868,0,-49.07,0.9121323333333331,0
2015-03-05T20:30:00,298.2352933333333,3.70614252,0,-47.72,0.9180753500000001,0
2015-03-05T21:00:00,298.182385,3.582468801,0,-41.6383333333333,0.923772483333333,0
2015-03-05T21:30:00,298.1841633333333,3.55592332,0,-29.6133333333333,0.9224159333333329,0
2015-03-05T22:00:00,298.3099266666667,3.383137412,0,-22.2816666666667,0.9120589333333329,0
2015-03-05T22:30:00,298.3182016666667,4.002137356,0,-47.6366666666667,0.9122203166666669,0
2015-03-05T23:00:00,298.1937983333333,4.190262144,0,-58.5233333333333,0.9143858,0
2015-03-05T23:30:00,298.1247566666667,4.245743151,0,-60.485,0.907440366666667,0
2015-03-05T03:00:00,297.3920333333333,3.956040179,0,-62.8416666666667,0.914006416666667,0
2015-03-05T03:30:00,297.4730433333333,3.903678063,0,-59.0883333333333,0.901802,0
2015-03-05T04:00:00,297.43465,4.206711258,0,-64.2783333333333,0.8988415500000001,0
2015-03-05T04:30:00,297.36139000000003,4.165099808,0,-65.0266666666667,0.900453066666667,0
2015-03-05T05:00:00,297.28293666666673,4.208162713,0,-65.9483333333333,0.9042787,0
2015-03-05T05:30:00,297.257825,3.797215694,0,-65.3833333333333,0.902735366666667,0
2015-03-05T06:00:00,297.2598766666667,3.205989974,0,-65.2316666666667,0.903115566666667,0
2015-03-05T06:30:00,297.274045,3.142975401,14.9170836666667,-66.7783333333333,0.90993875,1.571135056
2015-03-05T07:00:00,297.50429,1.976580048,89.2269983333333,-72.725,0.902143733333333,3.977184037
2015-03-05T07:30:00,298.0630083333333,1.734503834,208.88815,-82.9233333333333,0.885145966666667,7.348288085
2015-03-05T08:00:00,298.57197,1.847406579,342.549783333333,-88.9166666666667,0.861078283333333,11.49581924
2015-03-05T08:30:00,298.92683,2.49887478,473.801633333333,-91.7166666666667,0.833424183333333,12.74307448
2015-03-05T09:00:00,299.366295,2.534871453,600.18525,-90.8,0.8033568666666671,15.5888699
2015-03-05T09:30:00,299.89644,2.431840505,650.233266666667,-73.43,0.7827058333333331,18.30504997
2015-03-06T00:00:00,298.0466416666667,3.687851094,0,-60.7316666666667,0.9001736333333329,0
2015-03-06T00:30:00,297.924125,4.442360872,0,-56.4616666666667,0.902179483333333,0
2015-03-06T01:00:00,297.934355,3.959335367,0,-59.7233333333333,0.896854633333333,0
2015-03-06T01:30:00,297.91555,3.92931853,0,-42.37,0.899891466666667,0
2015-03-06T10:00:00,300.511055,4.946469763,820.9813,-82.5166666666667,0.729609466666667,18.85079492
2015-03-06T10:30:00,300.8806583333333,4.770728182,903.61235,-82.1666666666667,0.709641566666667,18.60927088
2015-03-06T11:00:00,301.259475,4.715622029,968.899366666667,-81.8833333333333,0.696933716666667,18.97860234
2015-03-06T11:30:00,301.3266616666667,5.138790557,1017.22525,-80.29,0.692948833333333,17.68326928
2015-03-06T12:00:00,301.2768916666667,6.301294701,1049.009,-77.43,0.692861833333333,17.04875129
2015-03-06T12:30:00,301.15092500000003,6.248537114,1054.49233333333,-76.7483333333333,0.704502933333333,16.32581728
2015-03-06T13:00:00,301.43914,5.722601997,1032.22183333333,-76.5966666666667,0.6909649,16.0638022
2015-03-06T13:30:00,301.3315766666667,5.880234721,1000.93795,-77.1233333333333,0.696032316666667,16.25613219
2015-03-06T14:00:00,301.15825166666673,6.186413587,948.116283333333,-76.23,0.7016490166666669,15.27985979
2015-03-06T14:30:00,301.13536,6.122690932,877.8932,-77.34,0.704451383333333,15.15765218
2015-03-06T15:00:00,301.02163,5.593425739,783.160183333333,-80.29,0.714984166666667,12.8630632
2015-03-06T15:30:00,300.7874833333333,5.333012643,672.329,-77.8066666666667,0.732186566666667,12.39921216
2015-03-06T16:00:00,300.595495,5.309573014,551.078033333333,-79.1833333333333,0.7394236833333331,11.52782412
2015-03-06T16:30:00,300.3340766666667,4.952586696,418.060133333333,-79.0083333333333,0.753398233333333,11.29664469
2015-03-06T17:00:00,300.0502233333333,4.834007697,282.767833333333,-78.96,0.7676291999999999,9.700495657
2015-03-06T17:30:00,299.7028283333333,4.048184281,147.144845,-74.4833333333333,0.781897966666667,7.246877109
2015-03-06T18:00:00,299.26607,4.046633979,38.90349,-67.46,0.796375666666667,1.054486273
2015-03-06T18:30:00,298.7585466666667,4.027576319,1.12398516666667,-61.5683333333333,0.8264857000000001,0
2015-03-06T19:00:00,298.5139533333333,4.207452536,0,-54.1066666666667,0.839625683333333,0
2015-03-06T19:30:00,298.32684,3.775646688,0,-60.1183333333333,0.8462893833333329,0
2015-03-06T02:00:00,297.8663866666667,4.027308419,0,-57.1966666666667,0.896705166666667,0
2015-03-06T02:30:00,297.8861416666667,4.173478077,0,-59.555,0.890851183333333,0
2015-03-06T20:00:00,298.0958083333333,4.015791903,0,-58.9616666666667,0.863453916666667,0
2015-03-06T20:30:00,298.090885,4.725376677,0,-59.48,0.857768916666667,0
2015-03-06T21:00:00,298.05245,4.60527116,0,-59.6316666666667,0.86232865,0
2015-03-06T21:30:00,298.01633,4.642497829,0,-62.35,0.857379483333333,0
2015-03-06T22:00:00,297.8419266666667,4.287295725,0,-63.2616666666667,0.854228783333333,0
2015-03-06T22:30:00,297.8634233333333,4.439213477,0,-63.135,0.840482733333333,0
2015-03-06T23:00:00,297.97262,4.2874163769999996,0,-61.665,0.835123316666667,0
2015-03-06T23:30:00,297.9154116666667,4.006769035,0,-61.15,0.8333354333333329,0
2015-03-06T03:00:00,297.90665,4.810377988,0,-55.7033333333333,0.890446266666667,0
2015-03-06T03:30:00,297.839415,4.032914829,0,-49.5733333333333,0.901573983333333,0
2015-03-06T04:00:00,297.7874,3.959153128,0,-33.375,0.9012505333333329,0
2015-03-06T04:30:00,297.9024266666667,4.329025258,0,-24.3333333333333,0.8966775833333329,0
2015-03-06T05:00:00,297.960655,4.164448368,0,-14.9483333333333,0.893144116666667,0
2015-03-06T05:30:00,297.988765,4.483077897,0,-56.4766666666667,0.882668266666667,0
2015-03-06T06:00:00,297.931375,4.464491271,0,-61.9583333333333,0.88166365,0
2015-03-06T06:30:00,297.8334666666667,4.151617872,16.2261793333333,-64.18,0.884115166666667,2.269750547
2015-03-06T07:00:00,298.051625,4.53160875,88.692885,-70.4533333333333,0.868622933333333,6.078681037
2015-03-06T07:30:00,298.4597516666667,4.358526604,207.755033333333,-76.5333333333333,0.8479108,9.452184794
2015-03-06T08:00:00,298.8357766666667,4.915228004,342.12795,-78.9166666666667,0.819061666666667,13.62332429
2015-03-06T08:30:00,299.291945,4.935512485,478.40105,-79.1816666666667,0.7981477333333331,15.34429036
2015-03-06T09:00:00,299.7938883333333,4.473974031,600.733733333333,-81.0733333333333,0.7766134166666671,18.31942756
2015-03-06T09:30:00,300.125505,4.292844043,722.2313,-81.6166666666667,0.75362425,19.0221386
